"text","created_at","sourcetweet_type"
"RT @ColorOfChange: Six Black men have been nominated for Best Director in the 92 year history of the #Oscars: 

John Singleton
Lee Daniels…","2020-02-10T06:36:46.000Z","retweeted"
"RT @BritniDWrites: Now that Cory Booker is out of the Dem race, Andrew Yang (I think) is the only PoC left. 

I'm looking for a smart pitch…","2020-01-13T19:22:23.000Z","retweeted"
"RT @StevenCanals: It’s clear that the narratives of people of color seem to only have “mainstream” value when we are struggling to survive.…","2020-01-26T17:03:52.000Z","retweeted"
"Me...just seeing that bullshit on @TheAcademy ...I AM DONE!

#Oscars 
#OscarsSoWhite https://t.co/jrjDSURxjL","2023-03-13T00:38:25.000Z",NA
"More awards proving they are irrelevant

In trying to erase the achievements of Black people and women, it is the #OscarsSoWhite who will be erased

Irrelevant
Irrelevant
Irrelevant in this day and age when we can seek and find the true talent ourselves

https://t.co/ilHdDYrQfi","2023-01-25T23:23:22.000Z",NA
"RT @IndisputableTYT: #OscarsSoWhite is trending again and @ninaturner’s body double has something to say about it!
#Oscar #film #TYT #Oscar…","2023-03-12T18:30:01.000Z","retweeted"
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T19:02:51.000Z","retweeted"
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T00:56:17.000Z","retweeted"
"RT @UniversallyCAPE: 2 in 95 years is CRAZY considering there is an Oscar Awards just about every year.

No wonder they had the hashtag #Os…","2023-03-13T14:27:26.000Z","retweeted"
"RT @NYCHomoCon: Jimmy Kimmel is hosting The Oscars this year. Curious how this helps the #OscarsSoWhite campaign? https://t.co/l0sn0D5dmX","2023-03-11T00:31:34.000Z","retweeted"
"Welp, we can all thank the slap heard around the world for the Oscars being super white again... #BlackTwitter #OscarsSoWhite https://t.co/RxPeWW4EXt","2023-03-12T17:00:14.000Z",NA
"@HailEternal The agenda is #OscarsSoWhite and nobody is surprised they did this tbh","2023-03-13T00:40:56.000Z",NA
"Older white male directors must be feeling the heat... 🔥🔥 #Oscars #Oscars2020 #OscarsSoWhite #OscarsSoMale #OscarsSoWoke https://t.co/xoOHWnTZ9d","2020-02-10T06:13:37.000Z","quoted"
"RT @ThomasConnorsJr: Johnny Johnny Johnny, you're yelling at the wrong people, just like with #OscarsSoWhite, we don't get to vote, it's YO…","2023-03-13T19:01:50.000Z","retweeted"
"Ok don’t come for me but, in my opinion. The only reason Jamie lee Curtis won an Oscar over Angela Bassett was because of white privilege… #Oscars #OscarsSoWhite #BLM","2023-03-15T00:38:42.000Z",NA
"@GabyMeza8 Pienso que ganará #MichelleYeoh, ya que eso hará felices a los fans de la película (que son muchos), sumado a las relaciones con China y el #OscarsSoWhite","2023-01-25T13:44:11.000Z",NA
"@patrickwrye @EmansReviews and no offense e-man, just keeping it 1,000.  I don't get paid to say positive things about marvel.

But yea, as for #OscarsSowhite - there is a reason that became a 'thing' - Meritocracy has never existed in America; and mf Chris Rock for clowning Jada a the Oscars that year too","2023-03-10T02:53:49.000Z",NA
"RT @GritsandB: No what was rude was them snubbing black actors/films and commenting on Will Fuck those ol white ppl #OscarsSoWhite","2023-03-13T02:49:41.000Z","retweeted"
"RT @USCAnnenberg: Who says hashtag activism can’t create change? 8 years after @ReignOfApril launched the #OscarsSoWhite movement, an initi…","2023-03-01T22:55:26.000Z","retweeted"
"everybody’s so distraught like her win isn’t proving the racism in award shows we’ve been talking about since that #oscarssowhite campaign, just think for a minute instead of being outraged for twitter likes 😵‍💫 https://t.co/cZtwBY7Epy","2023-02-28T06:31:08.000Z","quoted"
"That said, I really must ask the question of the sheer volume. If we are 4/100. Is it a matter of #podcasts facing the same issue of representation as film and television with #OscarsSoWhite ? Are #podcastsreallysowhite? 5/5","2023-02-23T08:04:38.000Z",NA
"RT @DrFrankRoberts: Quiet as its kept, I still haven't even gotten over the fact Denzel didn't win for Malcolm X back in 94...#OscarsSoWhite","2023-01-24T15:16:00.000Z","retweeted"
"RT @ReignOfApril: ~⁦@TheAcademy⁩ just can’t help themselves. It would’ve been SO easy to highlight South Asian choreographers and dancers f…","2023-03-13T16:12:34.000Z","retweeted"
"RT @TazzyStar: If the Academy pulls that BS of getting all people of color actors to present the white people awards in the name of diversi…","2020-01-14T03:04:05.000Z","retweeted"
"RT @rodimusprime: I’m happy the bear in that new Cocaine Bear movie is Black. Was worried the part would go to a Polar bear. #OscarsSoWhite","2023-01-30T04:49:41.000Z","retweeted"
"I'm changing the channel from the Oscars. Angela Bassett should have WON!!
#OscarsSoWhite AGAIN!
 #AcademyAwards","2023-03-13T00:46:12.000Z",NA
